place_id,name,slug,address,city,county,phone,rating,review_count,category,reviews_json,status,generated_url,created_at,sent_at,replied_at,notes
wco_2d1a5b024d527450,Covina Complete Auto Repair,covina-complete-auto-repair-covina,"859 W Covina Blvd, Covina, CA 91722",Covina,LA,(626) 699-2348,4.7,102,Auto repair shop,"[{""author"": ""Angie Gonzalez"", ""text"": ""I brought my daughter's car to be worked on, and Mr Joe went above and beyond to make sure my daughter's car was fix and safe to drive. He was professional, honest and attentive. The price was affordable. Im definitely coming back and referring my family and friends. Thank you Mr.Joe for over excelling my expectations.""}, {""author"": ""Dan Rivers"", ""text"": ""Joe is the absolute best mechanic, plus, he's nice, and he cares about his customers, a very difficult mix of professional for hire, to find these days. He takes great care of our fleet, my family and I are are very appreciative of what Joe and his team have done for us. Thank you Joe!""}, {""author"": ""Michael Johnson"", ""text"": ""Best and fairest mechanic I know and those are fantastic job on all my cars for over 10 years""}]",ready,https://castanedanetworks.github.io/westco-outreach-sites/sites/covina-complete-auto-repair-covina/,2026-05-11T22:29:26Z,,,
wco_9c8e687a4821fb98,Thirty Three Salon,thirty-three-salon-west-covina,"147 S Citrus Ave, Covina, CA 91723",West Covina,LA,(626) 732-5813,4.5,44,Beauty salon,"[{""author"": ""Lilith Katz"", ""text"": ""First time dying hair and what a complete disappointment it was. I booked an appointment with Eliana, Ella, for full color dye along with a hair cut and blow out. When I had showed her my Inspo pictures I believed we were on the same page. …""}, {""author"": ""Karina Cecilia"", ""text"": ""My mom and I booked here for next day appointments as we had previously come to the salon when it was called Lavish. It sounds like there is new owners and I was pleased to see that they now carry Oribe (it has been several years since our …""}, {""author"": ""Andrea Thatcher-Byrd"", ""text"": ""Well this was a last minute visit for a young lady who was going to a prom same day. So first I was happy to get her in for hair and makeup so this is the 3 star. …""}, {""author"": ""Karina Rodriguez"", ""text"": ""I was referred by a friend to Frank at Salon Lavish in Covina .  I was looking into going lighter and I’m always skeptical on how light they can get my hair without damaging my hair , so I never get my hopes up.  He did an amazing job he …""}, {""author"": ""Patricia Hernandez"", ""text"": ""This was my first time here. I got my hair colored and cut. Thomas did a fantastic job.  He met every expectation that I had. I will definitely come back again. if you want your hair  to look amazing  I recommend to ask for Thomas. He's a Sweetheart he's polite and does a amazing job.""}]",new,,2026-05-11T22:35:25Z,,,
wco_8089a95960ac53d5,WRLDWIDE BARBERSHOP,wrldwide-barbershop-pomona,"596 Indian Hill Blvd, Pomona, CA 91766",Pomona,LA,(909) 766-8039,5.0,443,Barber shop,"[{""author"": ""Joe SMTD"", ""text"": ""As a haircut connoisseur, I can say that world wide barbershop is a 5 star barbershop. They always go above and beyond with the cuts and make sure you get off that chair feeling great & full of confidence. The fades are some of the crispiest cuts, my friends say they’re crispier than bacon 🔥 Alex, Chuy & Alvaro always leave my cut 10 out of 10 🧼 your barbers favorite barbers!""}, {""author"": ""Ruben Avila"", ""text"": ""Wrld Wide Barbershop is hands down one of the best shops around. Great vibes, super professional, and they really take their time to make sure your cut comes out perfect. Clean fades, sharp lineups, and consistent work every time. Everybody …""}, {""author"": ""Owen Brown"", ""text"": ""Fire cuts, real family energy in the shop, and a perfect spot right next to Tierra Mia. Easily the best barbershop in Pomona. Alex never misses; clean, precise, and professional every single time. 10/10, I recommend Alex to everyone.""}, {""author"": ""iTzLonz"", ""text"": ""Erik did awesome, I have been teaching my son about how important it is to have his own barber, and I think we have found him, he took his time with the haircut and it came out clean.. we are definitely coming back to see him and this time i will wait for him to give me a haircut also.""}, {""author"": ""Pookie"", ""text"": ""Man my boy Chuy got me RIGHT! Clean fade sharp line-up everything on point. Bro really knows what he's doing had me walking out feeling brand new. If you need a cut tap in with Chuy he don't miss!""}]",ready,https://castanedanetworks.github.io/westco-outreach-sites/sites/wrldwide-barbershop-pomona/,2026-05-11T22:48:35Z,,,
wco_02c512c3deff26f1,The Bambino Barbershop Pomona,the-bambino-barbershop-pomona-pomona,"568 W Holt Ave, Pomona, CA 91768",Pomona,LA,(909) 729-5010,4.3,134,Barber shop,"[{""author"": ""Vero Servin"", ""text"": ""Everyone here is very welcoming and attentive, I have been bringing my kids here for about 2 years and they always get my kids right with their haircuts. I definitely recommend this barbershop!""}, {""author"": ""sergio ortega"", ""text"": ""2 barbers sitting down not one can cut my sons hair on a rainy day. No parking. Had to walk in the rain with my 4yr old son. Top it off their prices are ridiculous.  Asked if anyone can cut they all shook their heads… worst service bro get it together""}, {""author"": ""Michael M"", ""text"": ""Had a appointment scheduled for 7am with Moreno, I had talked to him about the timing because I work and can’t make it to the other appointment times that were listed, he had made sure that I can, and will be their the day before the appointment, just for him not to show up himself, that’s crazy, I had woken up early and went over there, texted him multiple times with no response, very unprofessional at least tell me you can’t make it, I was heavily disappointed and surprised because this shop seemed very reputable""}, {""author"": ""valerie corona"", ""text"": ""Mario is always on point!!! The only person I trust my with my boys hair. Amazing customer service as well. If you want a fade that is clean Mario is the one.""}, {""author"": ""Daniel Cervantes"", ""text"": ""This place is not worth going to anymore. The dude Mario cut my hair about three weeks ago and butchered a mid fade. My hair is different lengths on top and left my face and neck razed burned. Went back today hoping to get a decent haircut from somebody else, unfortunately, nobody else was available but Mario, I did mention to him that he left me all razor burned and he got offended and butchered my haircut all over again. Normally, I won’t say anything, but haircuts ain’t cheap anymore and I’m a good tipper.  But this barber did rub me wrong, acting all arrogant, like he didn’t do nothing wrong the first time and not to mention not trying to redeem himself from his past mistakes. This place is not what it-used to be. I guess it’s my fault for giving people the benefit of the doubt.""}]",new,,2026-05-11T22:49:48Z,,,
wco_ebe325ad07167583,Da Spot Barbershop,da-spot-barbershop-pomona,"805 Philadelphia St, Pomona, CA 91766",Pomona,LA,,4.6,111,Barber shop,"[{""author"": ""Joseph Ryciak"", ""text"": ""Marz has the most gentle hands when cutting and  I’ve notice he’s made a lot a gainz which is surprising he still has a soft touch any ways high recommend""}, {""author"": ""Jenny goofjenn@yahoo.com"", ""text"": ""They are very professional my kids love coming here i 100% recommend this barber shop 👌 👍 …""}, {""author"": ""Gus Holguin"", ""text"": ""Edwardkipperhands and his brother Fade Master are top notch professionalism at there passion and the way they make you feel so welcome the way they truly connect with you is awesome they really care about your experience being there this …""}, {""author"": ""M Encinas"", ""text"": ""I LOVE THIS PLACE FOR MY SON. HE ALWAYS GET THE FADE WITH THE LINE. EVERY SINCE CAESAR LEFT MY SON NOW GOES WITH VERONICA. SHE IS AWESOME. WE LOVE HER HER.... THEY ARE BY APPOINTMENT ONLY. MAKE SURE YOU CALL AHEAD OF TIME...""}, {""author"": ""Peter Rodriguez"", ""text"": ""Bro!! I went in and came out a different person, 1st time visit hands down was excellent. Thanks Anthony for the freshest clean haircut!""}]",new,,2026-05-11T22:50:45Z,,,
wco_0b2a2dfd82915353,Pomona Barbers,pomona-barbers-pomona,"430 W Holt Ave unit b, Pomona, CA 91768",Pomona,LA,(714) 391-3606,4.4,85,Barber shop,"[{""author"": ""Peter Castillo"", ""text"": ""Been coming here for years to Pomona barbershop I highly recommend this place to everyone in the Pomona area or surrounding areas city""}, {""author"": ""Linda Lockwood"", ""text"": ""Really cool Barber Shop. Two guys...who are friends formed this \""partnershop\""...and they turn-them-out in style! Professionally perfect cuts. Nice, inviting atmosphere. Free parking...easy to locate.\nFascinating pictures...especially an early Frank Sinatra \""mug shot\"" on the walls.\nOne of those \""ole-time\"" hang-outs for the boys. Catch-up on \""what's going on.\""\nSupporters of Community! Good guys...""}, {""author"": ""Danny Esparza"", ""text"": ""Love the service here! Always cool always available and great barbers that work here literally every single one of them! Been my go to place and never fails thank you guys for the good work🙏. …""}, {""author"": ""Michael Acevedo"", ""text"": ""I'm new to Pomona got my haircut with Andrew best haircut overall clean fade, no push back line up great vibes""}, {""author"": ""John Valencia"", ""text"": ""Great hair cuts. Javier and Sara hooked us up. My son and I came out with fresh hair cuts!""}]",new,,2026-05-11T22:51:25Z,,,
wco_2c60189a7f697786,Master Barber Shop #1,master-barber-shop-1-pomona,"1485 W Holt Ave, Pomona, CA 91768",Pomona,LA,(909) 469-9933,4.6,121,Barber shop,"[{""author"": ""Gabe"", ""text"": ""If you are a woman who wants to get their haircut or color, treat it. I have to tell you the ladies here are nice, but this is not the atmosphere for a woman. There's more men in this facility than they are women.  I think women should go to their own salon where they're treated like women and men are not trying to speak to them while getting their haircuts. Women like to be pampered not being around men and speaking about men things""}, {""author"": ""Christy King"", ""text"": ""I take my boys here all the time!! Super friendly and good with kids""}, {""author"": ""Hank"", ""text"": ""Very satisfied with the service. They are all friendly and will come again next time.""}, {""author"": ""Luis Terriquez"", ""text"": ""The ladies were very friendly I'm very welcoming the young lady who cut my hair you can call her Speedy quick fast professional and clean and a job well done""}, {""author"": ""Melvin Santos"", ""text"": ""Loved my cut and love the service 100% professional.....""}]",new,,2026-05-11T22:51:46Z,,,
wco_2ddd9485d91ebe07,Razor Barbershop,razor-barbershop-pomona,"152 W Holt Ave, Pomona, CA 91768",Pomona,LA,(909) 461-0257,4.5,117,Barber shop,"[{""author"": ""Angie T."", ""text"": ""Second time here. My son hates haircuts and the guys working here are patient and friendly. Highly recommend. Worth the price. $35 haircut for 10 year old boy.""}, {""author"": ""Paul Manriquez"", ""text"": ""Great haircut and atmosphere. Great people too 👍 …""}, {""author"": ""richard dagani"", ""text"": ""Hands down my go to barber shop. Everyone in there cuts high quality fades , they provide great customer service, they're organized and punctual so theirs never long waits. All the barbers at razor cut really clean fades , I go to Tony . …""}, {""author"": ""Javier Madriz"", ""text"": ""I would definitely go there again great service. You walk in and they treat you like if they do want to cut your hair. They care for their business. Definitely check this place out. They'll hook you up beard and haircut 💈Great service family friendly. …""}, {""author"": ""Devon Holley"", ""text"": ""Been coming here since they first opened . And always have been satisfied . People don't listen to the haters . Those people are just negative with nothing to do with their lives but spread the negativity . Came in at first as a customer now they welcome me like family and will always come back to my spot. I feel at home every time . These guys will talk to you about anything and usually the place I go to get my mind off things. And I always leave this place feeling fresh.""}]",new,,2026-05-11T22:52:08Z,,,
wco_5d26b4109d942bf2,Omni Auto Repair Inc,omni-auto-repair-inc-riverside,"12490 Magnolia Ave Suite E, Riverside, CA 92503",Riverside,RIV,(951) 737-5254,4.9,56,Auto repair shop,[],new,,2026-05-11T22:59:18Z,,,
wco_06c0502fffd7cdf9,Jim's Auto Repair,jim-s-auto-repair-riverside,"9764 Magnolia Ave, Riverside, CA 92503",Riverside,RIV,(951) 354-2332,4.7,422,Auto repair shop,[],new,,2026-05-11T23:00:02Z,,,
